Nr;Driver in;Day time in;Time in;Driver out;Day time out;Time out;Nett Time;Reason;Lap In
12;Gabriel Rindone;19:05:12.021;1:05:53.606;Gabriel Rindone;19:06:44.565;1:07:26.150;1:32.544;;31
58;Benjamin Goethe;19:05:40.590;1:06:22.175;Thomas Fleming;19:07:14.537;1:07:56.122;1:33.947;;32
3;Daniel Juncadella;19:05:45.535;1:06:27.120;Jules Gounon;19:07:11.669;1:07:53.254;1:26.134;;32
71;Frederik Schandorff;19:05:57.990;1:06:39.575;Malte Ebdrup;19:07:25.592;1:08:07.177;1:27.602;;32
65;Finn Wiebelhaus;19:06:03.722;1:06:45.307;Eduardo Coseteng;19:07:31.484;1:08:13.069;1:27.762;;32
12;Gabriel Rindone;19:08:41.327;1:09:22.912;Gabriel Rindone;19:09:34.530;1:10:16.115;53.203;;32
18;Mari Boya;19:09:29.929;1:10:11.514;Mari Boya;19:10:18.988;1:11:00.573;49.059;;33
60;Chandler Hull;19:12:01.050;1:12:42.635;Rolf Ineichen;19:13:31.922;1:14:13.507;1:30.872;;34
2;Dorian Boccolacci;19:16:23.612;1:17:05.197;Dorian Boccolacci;19:17:51.327;1:18:32.912;1:27.715;;37
87;Rinat Salikhov;19:17:09.752;1:17:51.337;Rinat Salikhov;19:18:38.624;1:19:20.209;1:28.872;;37
67;Scott Noble;19:21:42.506;1:22:24.091;Scott Noble;19:23:10.019;1:23:51.604;1:27.513;;37
4;Freddie Tomlinson;19:36:43.179;1:37:24.764;Harry George;19:38:11.933;1:38:53.518;1:28.754;;43
97;Antares Au;19:53:35.696;1:54:17.281;Riccardo Pera;19:55:03.229;1:55:44.814;1:27.533;;55
7;Marco Sorensen;19:53:41.891;1:54:23.476;Nicki Thiim;19:55:08.651;1:55:50.236;1:26.760;;56
59;Joseph Loake;19:54:16.246;1:54:57.831;Dean Macdonald;19:55:42.514;1:56:24.099;1:26.268;;56
177;Alfredo Hernandez Ortega;19:56:29.061;1:57:10.646;Stephane Tribaudini;19:59:13.657;1:59:55.242;2:44.596;;54
93;Stefano Costantini;19:58:10.396;1:58:51.981;Eddie Cheever;19:59:37.550;2:00:19.135;1:27.154;;57
56;Giacomo Petrobelli;19:58:12.182;1:58:53.767;Tom Wood;19:59:41.054;2:00:22.639;1:28.872;;57
11;Aaron Muss;19:58:24.745;1:59:06.330;Marcelo Tomasoni;19:59:55.974;2:00:37.559;1:31.229;;57
18;Mari Boya;19:58:46.652;1:59:28.237;Mari Boya;20:00:51.940;2:01:33.525;2:05.288;;58
88;Carrie Schreiner;19:59:04.972;1:59:46.557;Daniele Di Amato;20:00:32.723;2:01:14.308;1:27.751;;57
66;Sebastian Øgaard;19:59:48.220;2:00:29.805; ;;;;;58
30;Amaury Cordeel;20:00:31.663;2:01:13.248;Ignacio Montenegro;20:01:57.564;2:02:39.149;1:25.901;;59
84;Markus Winkelhock;20:00:42.847;2:01:24.432;Markus Winkelhock;20:02:11.174;2:02:52.759;1:28.327;;59
50;Lilou Wadoux;20:00:56.925;2:01:38.510;Lilou Wadoux;20:02:24.422;2:03:06.007;1:27.497;;59
24;Antoine Doquin;20:01:00.358;2:01:41.943;Lorenzo Fluxa Cross;20:02:33.446;2:03:15.031;1:33.088;;59
65;Eduardo Coseteng;20:02:10.210;2:02:51.795;Eduardo Coseteng;20:03:37.763;2:04:19.348;1:27.553;;60
45;Rafael Duran;20:02:26.646;2:03:08.231;Dylan Medler;20:03:59.224;2:04:40.809;1:32.578;;59
25;Ezequiel Perez Companc;20:02:28.540;2:03:10.125;Ivan Klymenko;20:04:25.697;2:05:07.282;1:57.157;;60
32;Charles Weerts;20:03:31.816;2:04:13.401;Jordan Pepper;20:04:58.341;2:05:39.926;1:26.525;;61
98;Augusto Farfus;20:03:35.758;2:04:17.343;Jake Dennis;20:05:02.962;2:05:44.547;1:27.204;;61
46;Max Hesse;20:03:43.514;2:04:25.099;Valentino Rossi;20:05:14.461;2:05:56.046;1:30.947;;61
914;Gerhard Tweraser;20:03:58.308;2:04:39.893;Dominik Olbert;20:05:26.095;2:06:07.680;1:27.787;;60
99;Andrea Frassineti;20:04:00.848;2:04:42.433;Andrea Frassineti;20:05:29.452;2:06:11.037;1:28.604;;61
21;Oliver Söderström;20:04:25.978;2:05:07.563;Kobe Pauwels;20:05:53.568;2:06:35.153;1:27.590;;61
9;Aliaksandr Malykhin;20:04:33.788;2:05:15.373;Aliaksandr Malykhin;20:06:00.813;2:06:42.398;1:27.025;;61
