Nr;Driver in;Day time in;Time in;Driver out;Day time out;Time out;Nett Time;Reason;Lap In
2;Alessio Picariello;22:21:14.328;4:21:55.913;Morris Schuring;22:22:42.607;4:23:24.192;1:28.279;;130
67;Jason Hart;22:21:54.839;4:22:36.424;Philip Ellis;22:24:26.286;4:25:07.871;2:31.447;;124
87;Gabriele Piana;22:23:14.095;4:23:55.680;Marvin Dienst;22:24:42.158;4:25:23.743;1:28.063;;130
18;Lance Stroll;22:27:15.012;4:27:56.597;Lance Stroll;22:29:18.808;4:30:00.393;2:03.796;;129
60;Tim Heinemann;22:30:04.497;4:30:46.082; ;;;;;119
4;Harry George;22:33:11.404;4:33:52.989;Freddie Tomlinson;22:34:39.107;4:35:20.692;1:27.703;;130
11;Aaron Muss;22:47:29.435;4:48:11.020;Aaron Muss;22:48:58.170;4:49:39.755;1:28.735;;139
45;David Perel;22:56:13.096;4:56:54.681;David Perel;22:57:39.977;4:58:21.562;1:26.881;;144
59;Marvin Kirchhöfer;22:56:33.242;4:57:14.827;Marvin Kirchhöfer;22:57:59.805;4:58:41.390;1:26.563;;148
97;Loek Hartog;22:58:10.316;4:58:51.901;Riccardo Pera;22:59:37.396;5:00:18.981;1:27.080;;148
6;Cesar Gazeau;22:58:22.790;4:59:04.375;Aurelien Panis;22:59:52.149;5:00:33.734;1:29.359;;147
4;Freddie Tomlinson;22:58:32.121;4:59:13.706;Adam Smalley;23:00:00.221;5:00:41.806;1:28.100;;142
93;Chris Froggatt;22:58:43.254;4:59:24.839;Eddie Cheever;23:00:14.042;5:00:55.627;1:30.788;;146
30;Ignacio Montenegro;22:58:45.204;4:59:26.789;Matisse Lismont;23:00:11.145;5:00:52.730;1:25.941;;148
21;Oliver Söderström;22:58:55.012;4:59:36.597;Kobe Pauwels;23:00:38.818;5:01:20.403;1:43.806;;148
177;Colin Caresani;22:59:17.071;4:59:58.656;Colin Caresani;23:03:10.976;5:03:52.561;3:53.905;;143
11;Aaron Muss;22:59:24.484;5:00:06.069;Kyle Marcelli;23:00:52.679;5:01:34.264;1:28.195;;144
46;Max Hesse;22:59:31.544;5:00:13.129;Daniel Harper;23:00:58.044;5:01:39.629;1:26.500;;149
24;Dennis Lind;22:59:38.852;5:00:20.437;Dennis Lind;23:01:42.376;5:02:23.961;2:03.524;;147
52;Jeff Machiels;23:00:29.837;5:01:11.422;Gilles Stadsbader;23:01:57.279;5:02:38.864;1:27.442;;148
84;Christopher Haase;23:00:35.196;5:01:16.781;Christopher Haase;23:02:08.091;5:02:49.676;1:32.895;;149
88;Alberto Di Folco;23:01:01.185;5:01:42.770;Alberto Di Folco;23:03:55.301;5:04:36.886;2:54.116;;147
63;Franck Perera;23:01:19.510;5:02:01.095;Mirko Bortolotti;23:02:46.048;5:03:27.633;1:26.538;;148
66;Sebastian Øgaard;23:02:05.276;5:02:46.861; ;;;;;149
914;Benjamin Paque;23:02:56.804;5:03:38.389;Benjamin Paque;23:04:23.804;5:05:05.389;1:27.000;;148
7;Mattia Drudi;23:03:31.361;5:04:12.946;Nicki Thiim;23:04:58.483;5:05:40.068;1:27.122;;152
991;Dries Vanthoor;23:03:40.070;5:04:21.655;Dries Vanthoor;23:05:09.224;5:05:50.809;1:29.154;;150
64;Fabio Scherer;23:04:25.901;5:05:07.486;Fabio Scherer;23:06:37.296;5:07:18.881;2:11.395;;151
50;Arthur Leclerc;23:04:53.873;5:05:35.458;Arthur Leclerc;23:06:20.439;5:07:02.024;1:26.566;;151
56;Jonathan Adam;23:05:16.211;5:05:57.796;Jonathan Adam;23:06:57.024;5:07:38.609;1:40.813;;149
17;Fabian Schiller;23:06:24.040;5:07:05.625;Fabian Schiller;23:07:50.206;5:08:31.791;1:26.166;;153
25;Ivan Klymenko;23:06:36.063;5:07:17.648;Etienne Cheli;23:08:07.042;5:08:48.627;1:30.979;;151
9;Max Hofer;23:06:37.664;5:07:19.249;Aleksei Nesov;23:08:04.560;5:08:46.145;1:26.896;;152
32;Jordan Pepper;23:07:53.682;5:08:35.267;Kelvin van der Linde;23:09:20.080;5:10:01.665;1:26.398;;154
98;Raffaele Marciello;23:08:15.217;5:08:56.802;Raffaele Marciello;23:09:42.485;5:10:24.070;1:27.268;;154
42;Javier Sagrera;23:08:35.733;5:09:17.318;Calan Williams;23:10:02.673;5:10:44.258;1:26.940;;152
111;Simon Gachet;23:08:37.686;5:09:19.271;Arthur Rougier;23:10:05.021;5:10:46.606;1:27.335;;154
65;Maxime Oosten;23:08:54.508;5:09:36.093;Finn Wiebelhaus;23:10:52.120;5:11:33.705;1:57.612;;153
48;Lucas Auer;23:09:04.797;5:09:46.382;Lucas Auer;23:10:31.672;5:11:13.257;1:26.875;;155
992;Robert De Haan;23:09:10.460;5:09:52.045;Robert De Haan;23:10:37.596;5:11:19.181;1:27.136;;153
54;Angus Whiteside;23:10:36.941;5:11:18.526;Francesco Simonazzi;23:12:06.852;5:12:48.437;1:29.911;;152
998;Jens Klingmann;23:10:45.276;5:11:26.861;Jens Klingmann;23:12:12.166;5:12:53.751;1:26.890;;155
74;Dennis Marschall;23:10:47.482;5:11:29.067;Dennis Marschall;23:12:15.066;5:12:56.651;1:27.584;;153
51;Alessio Rovera;23:11:07.556;5:11:49.141;Alessio Rovera;23:12:33.539;5:13:15.124;1:25.983;;155
58;Thomas Fleming;23:11:31.483;5:12:13.068;Thomas Fleming;23:12:58.252;5:13:39.837;1:26.769;;156
222;Kiern Jewiss;23:11:46.633;5:12:28.218;Kiern Jewiss;23:13:13.774;5:13:55.359;1:27.141;;154
3;Chris Lulham;23:12:11.962;5:12:53.547;Daniel Juncadella;23:13:38.837;5:14:20.422;1:26.875;;156
23;Ben Dörr;23:12:47.660;5:13:29.245;Horatio Fitz-Simon;23:14:16.854;5:14:58.439;1:29.194;;154
87;Marvin Dienst;23:13:12.045;5:13:53.630;Marvin Dienst;23:14:40.429;5:15:22.014;1:28.384;;155
91;Huub van Eijndhoven;23:13:51.287;5:14:32.872;Huub van Eijndhoven;23:15:18.372;5:15:59.957;1:27.085;;154
71;Simon Birch;23:13:58.294;5:14:39.879;Simon Birch;23:14:45.203;5:15:26.788;46.909;;156
2;Morris Schuring;23:15:37.145;5:16:18.730;Alessio Picariello;23:17:04.707;5:17:46.292;1:27.562;;157
35;Gaspard Simon;23:18:48.368;5:19:29.953;Mateo Villagomez;23:20:45.875;5:21:27.460;1:57.507;;156
12;Mikael Grenier;23:19:27.721;5:20:09.306;Mikael Grenier;23:21:27.267;5:22:08.852;1:59.546;;155
67;Philip Ellis;23:20:08.262;5:20:49.847;Philip Ellis;23:21:37.167;5:22:18.752;1:28.905;;151
71;Simon Birch;23:22:51.529;5:23:33.114;Frederik Schandorff;23:24:18.320;5:24:59.905;1:26.791;;158
18;Lance Stroll;23:34:10.880;5:34:52.465;Lance Stroll;23:36:54.060;5:37:35.645;2:43.180;;158
63;Mirko Bortolotti;23:35:51.794;5:36:33.379;Mirko Bortolotti;23:37:09.677;5:37:51.262;1:17.883;;160
88;Alberto Di Folco;23:40:01.345;5:40:42.930;Alberto Di Folco;23:40:40.490;5:41:22.075;39.145;;161
18;Lance Stroll;23:48:18.958;5:49:00.543; ;;;;;164
